issue_num,datetime,body,login,close_date
240,2017-03-20 15:26:07,Redo of #190 ,zuik,2017-03-26 19:27:50
240,2017-03-26 19:27:47,Thank you for your contribution 👍 ,prakhar1989,2017-03-26 19:27:50
239,2017-03-18 19:22:22,i fixed it,Hatsuney,2017-03-18 22:18:29
239,2017-03-18 22:18:26,"Thanks a lot, Laura!",prakhar1989,2017-03-18 22:18:29
238,2017-03-15 20:18:33,,yurovant,2017-03-18 16:54:50
238,2017-03-18 16:54:47,Thanks for the update!,prakhar1989,2017-03-18 16:54:50
237,2017-03-10 13:27:11,The assignment link was a 404,mquinson,2017-03-18 16:55:45
237,2017-03-18 16:55:42,Thanks for the updating the link!,prakhar1989,2017-03-18 16:55:45
236,2017-03-04 02:25:14,,cedarz,2017-03-05 18:09:17
236,2017-03-05 18:09:14,Thanks @cedarz!,prakhar1989,2017-03-05 18:09:17
235,2017-02-26 15:16:33,,Devinsuit,2017-02-26 16:10:34
235,2017-02-26 16:10:32,Thanks for the update! 👍 ,prakhar1989,2017-02-26 16:10:34
234,2017-02-19 04:34:42,,kmollee,2017-02-19 19:52:26
234,2017-02-19 19:52:23,Thanks a lot for the fix! 👍 ,prakhar1989,2017-02-19 19:52:26
233,2017-02-06 10:40:54,Updated the link to the new course web,joelowj,2017-02-07 15:45:33
233,2017-02-07 15:45:30,Sweet! Thanks for sending in the fix!,prakhar1989,2017-02-07 15:45:33
232,2017-02-06 01:09:17,"This is the link for convenience http://web.stanford.edu/class/cs108/

They seem to be using a new platform called `canvas` which requires priviledges to access.",elvis-sik,2017-02-20 18:11:22
232,2017-02-19 15:08:22,"Hi @prakhar1989  This issue has been resolve, I suggest this issue to be closed.
Thanks a lot.",joelowj,2017-02-20 18:11:22
232,2017-02-20 18:11:21,Thanks @joelowj 👍 ,prakhar1989,2017-02-20 18:11:22
231,2017-02-02 05:56:12,"This is an introductory-level course in supervised learning, with a
focus on regression and classification methods. The syllabus includes:
linear and polynomial regression, logistic regression and linear
discriminant analysis; cross-validation and the bootstrap, model
selection and regularization methods (ridge and lasso); nonlinear
models, splines and generalized additive models; tree-based methods,
random forests and boosting; support-vector machines. Some unsupervised
learning methods are discussed: principal components and clustering
(k-means and hierarchical).",ababen,2017-03-18 16:57:29
231,2017-02-02 06:06:11,"Thanks for contributing @ababen. Can you please add the requisite icons and add links to assignments so that it's easier for others to understand what this course has to offer?
",prakhar1989,2017-03-18 16:57:29
230,2017-01-23 11:10:06,,anancds,2017-01-23 11:58:38
230,2017-01-23 11:58:56,Thanks for the contribution! 👍,prakhar1989,2017-01-23 11:58:38
229,2017-01-14 19:57:24,,VipulSarin,2017-01-15 13:20:43
229,2017-01-15 13:20:38,Thanks for the addition! 👍 ,prakhar1989,2017-01-15 13:20:43
228,2017-01-12 20:11:56,,bawejakunal,2017-01-15 13:33:47
228,2017-01-12 20:26:24,@prakhar1989 Are we still trying to keep these in alphabetical order?,awelch83,2017-01-15 13:33:47
228,2017-01-15 13:35:05,"Thanks Kunal! 👍 

@awelch83 - Hmm, I try to but I don't enforce this strongly in PRs.",prakhar1989,2017-01-15 13:33:47
227,2017-01-02 12:11:19,"Browns University, very nice course",sjfricke,2017-01-03 01:49:03
227,2017-01-02 14:00:33,"This course looks really really good. Thanks a lot for adding it. One small typo - once that is fixed, I'll merge.

Oh and Happy New Year!",prakhar1989,2017-01-03 01:49:03
227,2017-01-02 16:13:30,"Good Catch, fixed",sjfricke,2017-01-03 01:49:03
226,2016-12-10 08:12:19,,Developer-Y,2016-12-10 13:45:07
226,2016-12-10 13:45:02,Thanks!,prakhar1989,2016-12-10 13:45:07
225,2016-12-08 07:22:34,Updated UIUC's CS241 awesome course & assignment webpages to 2016 spring semester.,erichoco,2016-12-08 07:23:49
225,2016-12-08 07:23:45,Thanks 😊,prakhar1989,2016-12-08 07:23:49
224,2016-12-07 10:52:34,"- Added link to the the latest offering (Spring 2016) which includes videos.
- Added ""Videos"" icon",danoneata,2016-12-07 12:49:40
224,2016-12-07 12:49:33,Thanks! ,prakhar1989,2016-12-07 12:49:40
223,2016-11-30 02:10:49,so sorry for the format error,anancds,2016-11-30 03:41:52
223,2016-11-30 03:41:50,No problem!,prakhar1989,2016-11-30 03:41:52
222,2016-11-29 06:20:21,,light94,2016-11-29 14:57:52
222,2016-11-29 14:58:04,Thanks!,prakhar1989,2016-11-29 14:57:52
221,2016-11-29 02:39:11,,anancds,2016-11-29 14:58:38
221,2016-11-29 14:58:44,Thanks!,prakhar1989,2016-11-29 14:58:38
220,2016-11-18 09:27:45,This is a course that is being offered in MIT and could be useful for many students.,lambainsaan,2016-11-19 20:28:51
220,2016-11-19 20:28:49,"Looks great! Thanks for sending the PR! 👍 
",prakhar1989,2016-11-19 20:28:51
219,2016-11-14 02:38:02,"Adding an awesome introductory course, http://cse1.net/lectures",Techfolio,2016-11-14 17:13:21
219,2016-11-14 17:13:19,"This looks fantastic! Thanks a lot for contributing :+1: 
",prakhar1989,2016-11-14 17:13:21
218,2016-10-28 01:58:20,,ethanchewy,2017-03-19 20:47:02
217,2016-10-24 16:52:55,"Links to updated Cornell's Computer System Organization lecture slides.
[CS3410](http://www.cs.cornell.edu/courses/cs3410/2016fa/schedule/)
",vharsh,2016-10-24 19:00:18
217,2016-10-24 19:00:35,"Thanks!
",prakhar1989,2016-10-24 19:00:18
216,2016-10-22 18:39:09,"The link for 6.006 actually linked to 6.046
",shauryab98,2016-10-22 19:23:43
216,2016-10-22 19:23:40,"Thanks! 👍 
",prakhar1989,2016-10-22 19:23:43
215,2016-10-21 16:07:24,"UoUtah - Machine learning, Advanced Algorithms, Database systems
CMU - 10-601 Spring 15 lectures and Statistics courses by Larry Wasserman.
",yogeshpaul,2016-10-21 17:27:25
214,2016-10-14 17:39:02,,awelch83,2016-10-15 00:36:12
214,2016-10-15 00:36:10,"Thanks! 👍 
",prakhar1989,2016-10-15 00:36:12
213,2016-10-14 07:01:26,"The artificial intelligence - IIT delhi course links are broken
",rajeshp,
212,2016-10-05 06:12:39,"In a nutshell, what is the purpose of travis? Can it be of some benefit to this repository?
",awelch83,
212,2016-10-07 05:18:59,"Hi! Well, Travis is a CI tool and is usually used to run tests etc on every commit or a PR.
So it _could_ be used to ensure that any pull-requests to this repo follow certain rules. One such example could be that whenever a new PR is submitted, Travis checks that the link is valid (doesn't 404). 

I'd ideally like to have a way to make sure that contributors stick to the correct formatting / alphabetization etc. However, since we aren't quite dealing with structured text, it might be hard to implement this check.

Hope that answers your question.
",prakhar1989,
212,2016-10-07 18:24:22,"Thanks for your reply, Prakhar! I'd like to try to implement this. I figure that I can start first with the 404-check, and then functionality can be expanded from there.

I was also thinking that it might be nice to be able to set up an automated process that would scan all existing URLs at a set interval to check for broken links
",awelch83,
212,2016-10-07 18:59:53,"Sure! Thanks for taking this up! For the 404 checking, you can refer to [Awesome Bot](https://github.com/dkhamsing/awesome_bot). I'd also suggest taking a look at this [PR](https://github.com/prakhar1989/awesome-courses/pull/146) in order to understand the issue we had when we tried to implement it for this repo. I'm sure @awesome-bot would love to chip in.
",prakhar1989,
212,2016-10-10 13:45:39,"yeah the awesome-bot tool can help check for links
there's another tool called danger that can enforce some other rules https://github.com/danger/danger
",awesome-bot,
211,2016-10-04 00:26:07,,awelch83,2016-10-04 13:39:02
211,2016-10-04 13:39:06,"Thanks!
",prakhar1989,2016-10-04 13:39:02
210,2016-10-02 15:57:35,,sjfricke,2016-10-02 17:57:21
210,2016-10-02 17:57:19,"Thanks! 👍 
",prakhar1989,2016-10-02 17:57:21
209,2016-10-02 00:34:44,"Added a great course on Computer Graphics offered by Carnegie Mellon
University

Matched documentation style also
",sjfricke,2016-10-02 01:39:52
209,2016-10-02 01:46:22,"Looks sweet! Thanks for contributing! 👍 
",prakhar1989,2016-10-02 01:39:52
208,2016-09-29 14:35:53,"Added
CS 224: Advanced Algorithms(Harvard University)
CS 229r: Algorithms for Big Data (Harvard University)
CS 261 A second course in Algorithms - Stanford University

Updated
6.854 Advanced Algorithms MIT video lectures
",yogeshpaul,2016-09-29 18:19:18
207,2016-09-21 07:04:08,"CS 261: A second course in Algorithms - Stanford 
https://www.youtube.com/playlist?list=PLEGCF-WLh2RJh2yDxlJJjnKswWdoO8gAc

MIT 6.854 Advanced Algorithms videos link - Spring 2016 
http://people.csail.mit.edu/moitra/854.html
https://www.youtube.com/playlist?list=PL6ogFv-ieghdoGKGg2Bik3Gl1glBTEu8c
",yogeshpaul,2016-09-29 14:38:17
207,2016-09-29 14:38:17,"Added links via pull request.
",yogeshpaul,2016-09-29 14:38:17
206,2016-09-16 05:46:43,"Added some descriptions for CS61B which I am using right now. Really excellent lecture for java and data structure beginner. I love it and like to share it :-)

And also this course contains all needed lecture notes, homeworks, projects and even exams. So I added other icon next to its title.
",yangzgnay,2016-09-16 19:26:47
206,2016-09-16 19:26:42,"Thanks for contributing! 👍 
",prakhar1989,2016-09-16 19:26:47
205,2016-09-15 20:19:59,"Added a link to lecture website of CS162 Spring 2015 lecture
",yangzgnay,2016-09-16 02:05:27
205,2016-09-16 02:05:24,"👍 
",prakhar1989,2016-09-16 02:05:27
205,2016-09-16 02:08:35,"Hi,

I don't have the lecture slides.
Kindly don't mail me again.

Thank You

On 16 Sep 2016 7:36 am, ""Prakhar Srivastav"" notifications@github.com
wrote:

> Merged #205 https://github.com/prakhar1989/awesome-courses/pull/205.
> 
> —
> You are receiving this because you are subscribed to this thread.
> Reply to this email directly, view it on GitHub
> https://github.com/prakhar1989/awesome-courses/pull/205#event-791585702,
> or mute the thread
> https://github.com/notifications/unsubscribe-auth/AMiXLMUjW54rG5Z4OnE9W-Y23yiTogGnks5qqfmkgaJpZM4J-Tm9
> .
",shivamgupta-gupta,2016-09-16 02:05:27
204,2016-09-15 10:56:43,"The site is down and anyone I would like to ask if anyone has a copy of the lecture/ slides?
",Aiken00,2016-09-15 11:00:52
204,2016-09-15 11:00:40,"I found the new version of course [here](http://am207.github.io/2016/index.html).
",Aiken00,2016-09-15 11:00:52
203,2016-08-31 05:26:50,"Link to video lecture has been updated from Fall 2014 to Spring 2015.
",vivekpatle,2016-08-31 13:04:55
203,2016-08-31 13:04:53,"Thank you 👍 
",prakhar1989,2016-08-31 13:04:55
202,2016-08-21 21:22:24,"Can you please please help with link for videos of CS 425 Distributed Systems
",vipulg,2016-08-22 17:37:48
202,2016-08-22 17:37:47,"It seems the university has put the videos behind a login. I'll update the readme to indicate that.
",prakhar1989,2016-08-22 17:37:48
202,2016-08-23 04:02:59,"any chance you have downloaded the videos?

On Mon, Aug 22, 2016 at 11:08 PM, Prakhar Srivastav <
notifications@github.com> wrote:

> It seems the university has put the videos behind a login. I'll update the
> readme to indicate that.
> 
> —
> You are receiving this because you authored the thread.
> Reply to this email directly, view it on GitHub
> https://github.com/prakhar1989/awesome-courses/issues/202#issuecomment-241489820,
> or mute the thread
> https://github.com/notifications/unsubscribe-auth/AAqlkoHlR0K04foKPJraP8t6CVnRUkINks5qid6ugaJpZM4JpZIO
> .
",vipulg,2016-08-22 17:37:48
202,2016-08-23 13:34:37,"Nope.

On Tuesday, August 23, 2016, vipulg notifications@github.com wrote:

> any chance you have downloaded the videos?
> 
> On Mon, Aug 22, 2016 at 11:08 PM, Prakhar Srivastav <
> notifications@github.com
> <javascript:_e(%7B%7D,'cvml','notifications@github.com');>> wrote:
> 
> > It seems the university has put the videos behind a login. I'll update
> > the
> > readme to indicate that.
> > 
> > —
> > You are receiving this because you authored the thread.
> > Reply to this email directly, view it on GitHub
> > <https://github.com/prakhar1989/awesome-courses/issues/202#issuecomment-
> > 241489820>,
> > or mute the thread
> > <https://github.com/notifications/unsubscribe-auth/
> > AAqlkoHlR0K04foKPJraP8t6CVnRUkINks5qid6ugaJpZM4JpZIO>
> > .
> 
> —
> You are receiving this because you modified the open/close state.
> Reply to this email directly, view it on GitHub
> https://github.com/prakhar1989/awesome-courses/issues/202#issuecomment-241620847,
> or mute the thread
> https://github.com/notifications/unsubscribe-auth/AAnoIeUs-SAM0JC7PRSXe4O0C-CvMRA4ks5qinD8gaJpZM4JpZIO
> .

## 

_Prakhar Srivastav_
_http://prakhar.me/ http://prakhar.me/_
",prakhar1989,2016-08-22 17:37:48
201,2016-08-19 15:44:49,,sbarratt,2017-03-19 20:47:19
200,2016-08-02 18:01:29,"Adding iTunes, URL for iOS 9 Swift free course from Stanford
",JMatharu,2016-08-02 22:47:46
200,2016-08-02 22:47:44,"Thanks a lot, 👍 
",prakhar1989,2016-08-02 22:47:46
199,2016-07-30 04:23:48,"But still available on his P4P github repo
",mortonfox,2016-07-30 12:27:51
199,2016-07-30 12:27:48,"Great find!
",prakhar1989,2016-07-30 12:27:51
198,2016-07-28 14:06:21,,awelch83,2016-07-28 14:12:26
198,2016-07-28 14:12:24,"Thanks =)
",prakhar1989,2016-07-28 14:12:26
197,2016-07-21 17:45:29,,awelch83,
196,2016-07-21 17:43:35,,awelch83,2016-07-21 17:55:28
196,2016-07-21 17:51:35,"They changed the link - https://www.classes.cs.uchicago.edu/archive/2015/winter/22300-1/

Can you please update it? I'll merge it in :)
",prakhar1989,2016-07-21 17:55:28
195,2016-07-21 15:58:10,,awelch83,2016-07-21 17:35:55
194,2016-07-21 15:24:00,"@prakhar1989 

<S_CODE_TOKEN>

<S_CODE_TOKEN>
",awelch83,2016-07-21 18:13:28
194,2016-07-21 15:44:27,"Hi Aaron, 

I'm not sure on how to decrypt this. Feel free to [email](mailto:prakhar@prakhar.me) me.
",prakhar1989,2016-07-21 18:13:28
